id	fin_name	eng_name	category	word_class	aaltoprod	aalto85	cslb	mcrae	vinson	cmu	w2v_fin	w2v_eng	homonym_fin	homonym_eng	action_words	COMMENT
1463	patsas	statue	building	noun	patsas						patsas	statue			0	
1464	status	status	abstract_high	noun	status						status	status			0	
1477	jakkara	stool	furniture	noun	jakkara		stool	stool_(furniture)		stool	jakkara	stool			0	
1481	tarina	story	abstract_high	noun	tarina						tarina	story			0	
1484	salmi	strait	nature	noun	salmi						salmi	strait			0	
1486	mansikka	strawberry	fruit	noun	mansikka		strawberry	strawberry	STRAWBERRY_object	strawberry	mansikka	strawberry			0	
1491	studio	studio	building	noun	studio						studio	studio			0	
1494	menestys	success	abstract_high	noun	menestys						menestys	success			0	
1510	villapaita	sweater	clothing	noun	villapaita		sweater	sweater	SWEATER_object	sweater	villa#paita	sweater			0	
1516	miekka	sword	tool	noun	miekka		sword	sword	SWORD_object	sword	miekka	sword			0	
1518	oire	symptom	abstract_mid	noun	oire						oire	symptom			0	
1521	järjestelmä	system	abstract_high	noun	järjestelmä						järjestelmä	system			0	
1522	pöytä	table	furniture	noun	pöytä		table	table		table	pöytä	table			0	
1526	häntä	tail	body/animal	noun	häntä					tail	häntä	tail			0	
1538	opettaja	teacher	human	noun	opettaja	opettaja					opettaja	teacher			0	
1539	joukkue	team	abstract_mid	noun	joukkue	joukkue					joukkue	team			0	
1545	temppeli	temple	building	noun	temppeli	temppeli					temppeli	temple			0	
1554	ajatus	thought	abstract_high	noun	ajatus						ajatus	thought			0	
1559	peukalo	thumb	bodypart	noun	peukalo		thumb		THUMB_object	thumb	peukalo	thumb			0	
1564	tiikeri	tiger	animal	noun	tiikeri		tiger	tiger	TIGER_object	tiger	tiikeri	tiger			0	
1566	ajankohta	time	abstract_high	noun	ajankohta						ajan#kohta	time			0	
1567	ajoitus	timing	abstract_high	noun	ajoitus	ajoitus					ajoitus	timing			0	
1573	varvas	toe	bodypart	noun	varvas	varvas	toe		TOE_object	toe	varvas	toe			0	
1587	torni	tower	building	noun	torni	torni					torni	tower			0	
1592	juna	train	vehicle	noun	juna	juna	train	train	TRAIN_object	train	juna	train			0	
1605	rekka	truck	vehicle	noun	rekka	rekka	truck	truck	TRUCK_object	truck	rekka	truck			0	
1615	pinsetit	tweezers	tool	noun	pinsetit		tweezers		TWEEZERS_object	tweezers	pinsetit	tweezers			0	
1624	taajama	town	abstract_mid	noun	taajama					town	taajama	town			0	
1630	laakso	valley	nature	noun	laakso					valley	laakso	valley			0	
1631	pakettiauto	van	vehicle	noun	pakettiauto		van	van	VAN_object	van	paketti#auto	van			0	
1637	kylä	village	building	noun	kylä					village	kylä	village			0	
1647	muuri	wall	building	noun	muuri			wall		wall	muuri	wall			0	
1659	vesi	water	nature	noun	vesi					water	vesi	water			0	
1660	vesimeloni	watermelon	fruit	noun	vesimeloni		watermelon		WATERMELON_object	watermelon	vesi#meloni	watermelon			0	
