id	fin_name	eng_name	category	word_class	aaltoprod	aalto85	cslb	mcrae	vinson	cmu	w2v_fin	w2v_eng	homonym_fin	homonym_eng	COMMENT
1084	rankkasade	rainstorm	nature	noun						rainstorm	rankkasade	rainstorm			
1085	rusina	raisin	food	noun			raisin	raisin		raisins	rusina	raisin			
1086	harava	rake	tool	noun	harava		rake	rake	RAKE_object	rake	harava	rake	haravoida	RAKE_actionV	
1087	haravoida	rake	action	verb					RAKE_actionV		haravoida		harava	RAKE_object	
1089	ihottuma	rash	abstract	noun						rash	ihottuma	rash			
1090	vadelma	raspberry	fruit	noun	vadelma		raspberry	raspberry		raspberry	vadelma	raspberry			
1091	rotta	rat	animal	noun			rat	rat		rat	rotta	rat			
1092	helistin	rattle	toy	noun			rattle	rattle			helistin	rattle			
1093	kalkkarokäärme	rattlesnake	animal	noun			rattlesnake	rattlesnake		rattlesnake	kalkkaro#käärme	rattlesnake			
1094	korppi	raven	bird	noun			raven	raven			korppi	raven			
1095	rotko	ravine	nature	noun						ravine	rotko	ravine			
1096	partahöylä	razor	tool	noun			razor	razor	RAZOR_object	razor	parta#höylä	razor			
1097	järki	reason	abstract	noun	järki	järki					järki	reason			
1098	kuitti	receipt	text	noun						receipt	kuitti	receipt			
1099	nauhuri	recorder	appliance	noun			recorder				nauhuri	recorder			
1100	jääkaappi	refrigerator	appliance	noun			fridge	fridge		refrigerator	jää#kaappi	refrigerator			
1101	uskonto	religion	abstract	noun	uskonto						uskonto	religion			
1102	matelija	reptile	animal	noun						reptile	matelija	reptile			
1103	maine	reputation	abstract	noun	maine	maine					maine	reputation			
1104	lomakohde	resort	place	noun						resort	loma#kohde	resort			
1105	ravintola	restaurant	place	noun						restaurant	ravintola	restaurant			
1106	arvio	review	abstract	noun	arvio	arvio					arvio	review			
1107	revolveri	revolver	weapon	noun			revolver	revolver		revolver	revolveri	revolver			
1108	sarvikuono	rhino	animal	noun			rhino			rhinoceros	sarvi#kuono	rhino			
1109	raparperi	rhubarb	fruit	noun			rhubarb	rhubarb			raparperi	rhubarb			
1110	kylkiluu	rib	bodypart	noun						rib	kylki#luu	rib			
1111	nauha	ribbon	accessory	noun						ribbon	nauha	ribbon			
1112	riisi	rice	food	noun			rice	rice		rice	riisi	rice			
1113	ratsastaa	ride	action	verb					RIDE_actionV		ratsastaa	ride			
1114	kivääri	rifle	weapon	noun			rifle	rifle		rifle	kivääri	rifle			
1115	sormus	ring	accessory	noun	sormus	sormus	ring_(jewellery)	ring_(jewelry)		ring	sormus	ring			
1116	joki	river	nature	noun	joki	joki				river	joki	river			
1117	tie	road	nature	noun	tie	tie				road	tie	road			
1118	leninki	robe	clothing	noun			robe	robe			leninki	robe			
1119	punarinta	robin	bird	noun			robin	robin		robin	puna#rinta	robin			
1120	robotti	robot	appliance	noun						robot	robotti	robot			
1121	kallio	rock	nature	noun	kallio	kallio	rock	rock		rock	kallio	rock			
1122	rokkari	rocker	person	noun				rocker			rokkari	rocker			
1123	raketti	rocket	vehicle	noun			rocket	rocket		rocket	raketti	rocket			
1124	keinutuoli	rocking_chair	furniture	noun			rocking_chair				keinu#tuoli	rocking_chair			
1125	vuoristorata	rollercoaster	vehicle	noun						rollercoaster	vuoristo#rata	rollercoaster			
1126	rullaluistin	rollerskate	sport	noun			rollerskate				rulla#luistin	rollerskate			
1127	kaulin	rolling_pin	tool	noun			rolling_pin				kaulin	Rolling_Pin			
1129	katto	roof	furniture	noun						roof	katto	roof			
1130	huone	room	place	noun	huone					room	huone	room			
1131	kukko	rooster	bird	noun				rooster		rooster	kukko	rooster			
1132	juuri	root	plant	noun						root	juuri	root			
1133	köysi	rope	tool	noun			rope	rope		rope	köysi	rope			
1134	ruusu	rose	plant	noun			rose			rose	ruusu	rose			
1135	matto	rug	furniture	noun						rug	matto	rug			
1136	viivoitin	ruler	tool	noun			ruler	ruler		ruler	viivoitin	ruler			
1137	juosta	run	action	verb					RUN_actionV		juosta	run			
1138	ruoste	rust	material	noun						rust	ruoste	rust			
1139	säkki	sack	container	noun				sack		sack	säkki	sack			
1140	satula	saddle	tool	noun				saddle			satula	saddle			
1141	purjevene	sailboat	vehicle	noun				sailboat		sailboat	purje#vene	sailboat			
1142	salaatti	salad	food	noun						salad	salaatti	salad			
1143	salamanteri	salamander	animal	noun				salamander		salamander	salamanteri	salamander			Code claimed this was not in corpus?
1144	lohi	salmon	waterlife	noun			salmon	salmon		salmon	lohi	salmon			
1145	suola	salt	food	noun						salt	suola	salt			
1146	hiekka	sand	material	noun						sand	hiekka	sand			
1147	sandaali	sandal	clothing	noun			sandals	sandals		sandal	sandaali	sandal			
1148	hiekkapaperi	sandpaper	tool	noun			sandpaper	sandpaper			hiekka#paperi	sandpaper			
1149	voileipä	sandwich	food	noun			sandwich			sandwich	voi#leipä	sandwich			
1150	sardiini	sardine	waterlife	noun			sardine	sardine			sardiini	sardine			
1151	olkalaukku	satchel	accessory	noun			satchel				olka#laukku	satchel			
1152	satelliitti	satellite	vehicle	noun	satelliitti					satellite	satelliitti	satellite			
1153	satsuma	satsuma	fruit	noun			satsuma				satsuma	satsuma			
1154	kastike	sauce	food	noun						sauce	kastike	sauce			
1155	aluslautanen	saucer	container	noun				saucer		saucer	alus#lautanen	saucer			noun & verb
1156	makkara	sausage	food	noun						sausage	makkara	sausage			noun & verb
